sample,event_id,gate,category,loss
3,4,10,1,875196788.1
3,3,13,1,862271424.2
4,6,2,3,5749773962.0
4,5,46,2,3450533798.0
4,7,27,1,1205057041.0
5,8,14,1,1289941312.0
5,9,9,3,5961674471.0
10,10,26,1,1205057041.0
11,13,12,1,752759698.2
13,14,21,4,14948036345.0
16,16,12,1,582905238.1
16,15,17,3,7188343121.0
18,18,1,1,764284144.1
18,17,12,1,442883641.6
20,20,46,4,14948036345.0
20,19,18,3,7188343121.0
22,21,12,1,617178872.7
22,22,12,1,535373176.7
24,24,22,1,947222683.7
27,26,46,1,524354473.6
27,27,21,1,947222683.7
28,28,21,2,4661767010.0
29,29,1,1,1049990012.0
31,30,32,1,821323293.5
31,31,12,1,621626472.3
33,32,18,3,7188343121.0
35,34,22,1,947222683.7
38,35,37,2,3450533798.0
38,36,37,1,1361850958.0
39,37,2,3,5749773962.0
39,38,10,1,1487338883.0
39,39,37,1,1361850958.0
40,40,22,1,947222683.7
41,41,51,3,6441419566.0
43,44,12,1,586210453.9
47,46,10,1,1270243919.0
47,47,46,2,3450533798.0
48,48,21,1,1624871268.0
48,49,49,1,789122824.2
49,51,18,3,7188343121.0
50,53,12,3,8126555557.0
50,52,14,1,1145385758.0
51,54,52,2,4224952563.0
51,57,1,3,5749773962.0
51,58,6,1,901765476.2
52,59,20,2,4661767010.0
55,61,53,1,1316785465.0
56,62,6,1,901765476.2
56,63,53,1,1316785465.0
56,64,12,1,556389049.3
56,65,21,1,947222683.7
57,68,20,4,26234121822.0
57,67,1,1,986264749.2
58,69,12,1,1859510733.0
58,70,14,1,781400850.3
59,71,46,4,14948036345.0
60,72,12,1,790814380.2
60,73,10,1,1018800977.0
61,76,37,2,3450533798.0
63,79,10,1,871750367.1
64,80,61,2,3611421792.0
67,83,12,1,607453335.9
69,84,11,2,2544197467.0
72,87,51,3,15046096574.0
74,89,21,1,947222683.7
74,91,51,3,9809122411.0
74,90,40,4,14853619650.0
75,93,8,2,2424371639.0
75,92,48,3,8097986358.0
76,94,21,1,1624871268.0
77,95,58,1,775055478.6
79,97,52,1,699449448.1
81,100,1,1,770286994.3
82,102,11,2,2544197467.0
82,101,49,1,838118557.4
84,103,46,1,524354473.6
86,104,58,1,775055478.6
86,105,9,3,5961674471.0
87,107,40,4,14853619650.0
87,108,2,1,1068982497.0
89,109,1,1,813020053.0
90,110,46,4,14948036345.0
91,111,51,3,9562410956.0
93,113,1,1,735669161.3
94,114,51,3,10563970674.0
96,115,12,1,801989517.9
97,116,52,2,4224952563.0
98,117,9,1,524354473.6
98,118,9,3,5961674471.0
99,120,46,1,524354473.6
100,122,2,3,5749773962.0
100,121,12,1,314330506.3
101,123,9,3,5961674471.0
102,126,51,3,12845131424.0
102,125,53,2,4224952563.0
102,124,49,3,6613654285.0
105,129,46,2,3450533798.0
105,128,49,3,6613654285.0
107,130,14,3,8938953132.0
108,131,11,2,2544197467.0
110,136,51,3,4221808299.0
110,135,12,1,722669522.0
110,133,14,1,1289941312.0
110,134,11,1,844710974.8
112,138,18,3,7188343121.0
116,141,12,1,962605472.5
119,142,14,3,8938953132.0
120,143,12,3,8126555557.0
120,145,32,1,821323293.5
121,147,48,3,8097986358.0
121,148,1,1,764215058.3
123,151,11,2,2544197467.0
124,152,1,1,819295705.6
125,153,21,4,26234121822.0
127,154,39,2,2424371639.0
127,155,49,1,1266897044.0
128,156,61,2,3611421792.0
128,157,14,1,844928278.3
130,158,11,1,293217251.3
132,159,51,3,11214283727.0
132,160,18,3,7188343121.0
133,162,3,1,991059104.4
134,164,6,1,901765476.2
137,166,52,1,478785849.0
137,167,12,1,1289941312.0
141,169,62,1,462562513.5
141,170,8,2,2424371639.0
143,171,14,1,886256556.2
145,173,21,1,947222683.7
145,172,1,1,766517336.3
146,174,9,1,524354473.6
146,175,12,1,1872149932.0
147,176,12,3,8126555557.0
147,177,12,1,363898161.2
149,178,46,1,524354473.6
150,179,52,2,4224952563.0
151,180,12,1,781138723.4
158,183,26,1,1205057041.0
158,184,46,2,3450533798.0
159,185,27,1,1247943521.0
161,186,12,1,804628801.3
162,188,26,1,1205057041.0
162,189,12,1,586210453.9
162,190,2,3,5749773962.0
162,191,61,2,3611421792.0
163,193,2,1,979483319.4
163,194,49,1,744954575.9
165,198,46,4,14948036345.0
165,197,46,1,524354473.6
167,200,1,1,1032948785.0
167,199,20,3,6613654285.0
170,201,12,1,675358835.3
173,203,50,1,795430630.9
173,204,12,1,486994862.8
174,205,13,1,1241122006.0
177,207,27,1,1247943521.0
179,208,12,1,330106775.1
180,209,8,2,2424371639.0
181,210,45,1,1119276599.0
181,212,51,3,7682503417.0
183,214,10,1,1068917140.0
187,217,9,1,524354473.6
187,216,45,1,1119276599.0
188,218,53,1,1316785465.0
189,219,25,1,785057726.5
189,220,1,1,745137512.1
190,221,14,3,5030803098.0
190,222,1,1,729347061.5
192,223,27,1,1247943521.0
192,225,48,3,8097986358.0
197,226,12,1,1273636143.0
198,227,21,4,14948036345.0
199,228,2,1,1174348940.0
199,229,40,4,14853619650.0
200,230,14,3,8938953132.0
203,233,12,1,1466145740.0
203,231,10,1,1414791515.0
203,232,62,1,462562513.5
205,235,21,4,14948036345.0
205,236,50,1,795430630.9
207,237,6,1,901765476.2
207,238,14,3,7188343121.0
209,240,14,1,642917034.8
209,241,58,1,775055478.6
210,243,20,2,4661767010.0
211,245,1,1,923507527.5
212,247,12,1,976051062.7
212,246,12,3,8126555557.0
213,249,39,2,2424371639.0
214,250,8,2,2424371639.0
214,252,48,3,6613654285.0
